Año,Trimestre,Periodo,Tecnologías,Cantidad de Conexiones
2018,4,2018-4,ADSL,52534.5
2019,4,2019-4,ADSL,47853.0
2020,4,2020-4,ADSL,45017.5
2021,4,2021-4,ADSL,38823.0
2022,4,2022-4,ADSL,33621.0
2018,4,2018-4,Cablemodem,41311.5
2019,4,2019-4,Cablemodem,50778.0
2020,4,2020-4,Cablemodem,60072.5
2021,4,2021-4,Cablemodem,61828.0
2022,4,2022-4,Cablemodem,66972.0
2018,4,2018-4,Fibra optica,919.5
2019,4,2019-4,Fibra optica,6886.5
2020,4,2020-4,Fibra optica,15535.5
2021,4,2021-4,Fibra optica,23352.5
2022,4,2022-4,Fibra optica,41712.0
2018,4,2018-4,Wireless,5178.0
2019,4,2019-4,Wireless,7020.5
2020,4,2020-4,Wireless,9232.5
2021,4,2021-4,Wireless,9714.0
2022,4,2022-4,Wireless,14080.5
2018,4,2018-4,Otros,2328.0
2019,4,2019-4,Otros,5054.0
2020,4,2020-4,Otros,4443.0
2021,4,2021-4,Otros,4640.5
2022,4,2022-4,Otros,3222.0
