Provincia,Año,Periodo,Total,Poblacion,Porcentaje_conexiones
Buenos Aires,2018,2018-4,3636606,17196396,0.2114748927624137
Buenos Aires,2019,2019-4,3686254,17370144,0.21221781465945244
Buenos Aires,2020,2020-4,4033261,17541141,0.22993150787625502
Buenos Aires,2021,2021-4,4509157,17709598,0.25461656441891
Buenos Aires,2022,2022-4,4794665,17875743,0.26822185796696674
Capital Federal,2018,2018-4,1389020,3068043,0.4527381135140544
Capital Federal,2019,2019-4,1358105,3072029,0.44208729800402274
Capital Federal,2020,2020-4,1379530,3075646,0.44853341379339495
Capital Federal,2021,2021-4,1412119,3078836,0.4586535301003366
Capital Federal,2022,2022-4,1551926,3081550,0.5036186334799045
Catamarca,2018,2018-4,33583,408152,0.08228062094513809
Catamarca,2019,2019-4,38311,411824,0.0930276040250204
Catamarca,2020,2020-4,52396,415438,0.1261223094661538
Catamarca,2021,2021-4,59090,418991,0.14102928225188607
Catamarca,2022,2022-4,70909,422476,0.1678414868536911
Chaco,2018,2018-4,103270,1180477,0.08748158583352322
Chaco,2019,2019-4,117903,1192616,0.09886082360122621
Chaco,2020,2020-4,139091,1204541,0.11547220061417586
Chaco,2021,2021-4,143745,1216247,0.11818734188039107
Chaco,2022,2022-4,143663,1227736,0.11701456990753713
Chubut,2018,2018-4,78722,598380,0.1315585413951001
Chubut,2019,2019-4,96102,608729,0.15787320794639323
Chubut,2020,2020-4,130574,618994,0.2109455018950103
Chubut,2021,2021-4,160308,629181,0.25478836773519864
Chubut,2022,2022-4,168759,639294,0.2639771372795615
Corrientes,2018,2018-4,100601,1101084,0.09136541807891133
Corrientes,2019,2019-4,113834,1111052,0.10245605066189521
Corrientes,2020,2020-4,125659,1120801,0.11211535321613739
Corrientes,2021,2021-4,135912,1130320,0.12024205534715833
Corrientes,2022,2022-4,155453,1139604,0.13640966511174057
Córdoba,2018,2018-4,737339,3683937,0.2001497311164659
Córdoba,2019,2019-4,806688,3722332,0.2167157577561593
Córdoba,2020,2020-4,902701,3760450,0.24005132364477655
Córdoba,2021,2021-4,986770,3798261,0.2597952062799265
Córdoba,2022,2022-4,1049660,3835738,0.2736526843074266
Entre Ríos,2018,2018-4,222047,1360443,0.16321668750546697
Entre Ríos,2019,2019-4,239030,1373270,0.17405899786640647
Entre Ríos,2020,2020-4,247381,1385961,0.17849059244812804
Entre Ríos,2021,2021-4,265046,1398510,0.18952027514998104
Entre Ríos,2022,2022-4,270974,1410908,0.19205646293025486
Formosa,2018,2018-4,45204,595129,0.07595664133322355
Formosa,2019,2019-4,46711,600229,0.07782196461683791
Formosa,2020,2020-4,50206,605193,0.08295865946896279
Formosa,2021,2021-4,53663,610019,0.08796939111732585
Formosa,2022,2022-4,61840,614706,0.10060093768403107
Jujuy,2018,2018-4,90133,753891,0.11955707124770026
Jujuy,2019,2019-4,88881,762440,0.1165744189706731
Jujuy,2020,2020-4,105851,770881,0.13731172515602277
Jujuy,2021,2021-4,113915,779212,0.1461925637695518
Jujuy,2022,2022-4,118218,787436,0.15013029630344563
La Pampa,2018,2018-4,85636,352378,0.24302311722071185
La Pampa,2019,2019-4,90399,355422,0.2543427249860729
La Pampa,2020,2020-4,96895,358428,0.27033323289475153
La Pampa,2021,2021-4,107007,361394,0.296095120560939
La Pampa,2022,2022-4,114164,364322,0.3133601594194147
La Rioja,2018,2018-4,51651,383220,0.13478158759981212
La Rioja,2019,2019-4,49002,388386,0.1261682964885449
La Rioja,2020,2020-4,52778,393531,0.13411395798552084
La Rioja,2021,2021-4,83128,398648,0.2085248138708836
La Rioja,2022,2022-4,86262,403727,0.21366418396589776
Mendoza,2018,2018-4,206304,1949293,0.10583529515573083
Mendoza,2019,2019-4,185780,1969982,0.09430543020190033
Mendoza,2020,2020-4,215453,1990338,0.10824945310796458
Mendoza,2021,2021-4,267587,2010363,0.1331038225434909
Mendoza,2022,2022-4,292104,2030061,0.14388927229280302
Misiones,2018,2018-4,116273,1233177,0.09428735696497745
Misiones,2019,2019-4,135813,1247362,0.1088801807334198
Misiones,2020,2020-4,147161,1261294,0.11667462146018295
Misiones,2021,2021-4,171132,1274992,0.13422201864796016
Misiones,2022,2022-4,186269,1288476,0.1445653624902598
Neuquén,2018,2018-4,114365,646784,0.1768210097961607
Neuquén,2019,2019-4,116445,655501,0.1776427495915338
Neuquén,2020,2020-4,133135,664057,0.200487307565465
Neuquén,2021,2021-4,147466,672461,0.2192930147621944
Neuquén,2022,2022-4,160180,680726,0.23530759806441945
Río Negro,2018,2018-4,116837,728403,0.16040159087757738
Río Negro,2019,2019-4,127140,738060,0.17226241768961872
Río Negro,2020,2020-4,141210,747610,0.1888819036663501
Río Negro,2021,2021-4,153753,757052,0.20309437132455896
Río Negro,2022,2022-4,162092,766387,0.2115014998949617
Salta,2018,2018-4,134578,1388532,0.09692106483682048
Salta,2019,2019-4,172445,1406584,0.12259843706454787
Salta,2020,2020-4,187390,1424397,0.13155742394851996
Salta,2021,2021-4,199405,1441988,0.13828478461679292
Salta,2022,2022-4,205860,1459378,0.14106009546532838
San Juan,2018,2018-4,62398,764464,0.08162320266225748
San Juan,2019,2019-4,64974,772876,0.08406781941734509
San Juan,2020,2020-4,72596,781217,0.09292680522825283
San Juan,2021,2021-4,79958,789489,0.10127816853686372
San Juan,2022,2022-4,103826,797697,0.13015719001074344
San Luis,2018,2018-4,96331,495629,0.194361104777969
San Luis,2019,2019-4,108201,502000,0.2155398406374502
San Luis,2020,2020-4,119435,508328,0.23495656347869878
San Luis,2021,2021-4,118849,514610,0.23094965119216493
San Luis,2022,2022-4,135220,520845,0.25961658458850523
Santa Cruz,2018,2018-4,24768,347593,0.07125575025964274
Santa Cruz,2019,2019-4,39370,356647,0.110389264454769
Santa Cruz,2020,2020-4,40674,365698,0.11122292164572954
Santa Cruz,2021,2021-4,48486,374756,0.1293801833726478
Santa Cruz,2022,2022-4,50203,383827,0.13079590544698522
Santa Fe,2018,2018-4,720390,3481514,0.20691859920712655
Santa Fe,2019,2019-4,769169,3509113,0.21919185845539885
Santa Fe,2020,2020-4,820813,3536418,0.23210293579548572
Santa Fe,2021,2021-4,866441,3563390,0.2431507637390238
Santa Fe,2022,2022-4,887691,3589999,0.24726775689909664
Santiago Del Estero,2018,2018-4,89335,958251,0.09322713986210293
Santiago Del Estero,2019,2019-4,103588,968309,0.10697824764615428
Santiago Del Estero,2020,2020-4,106669,978313,0.10903361194219029
Santiago Del Estero,2021,2021-4,115861,988245,0.1172391461631478
Santiago Del Estero,2022,2022-4,119494,998093,0.11972231044602057
Tierra Del Fuego,2018,2018-4,46260,164944,0.28045882238820447
Tierra Del Fuego,2019,2019-4,40392,169183,0.2387473918774345
Tierra Del Fuego,2020,2020-4,39614,173432,0.22841228838968586
Tierra Del Fuego,2021,2021-4,52357,177697,0.294642002960095
Tierra Del Fuego,2022,2022-4,55260,181983,0.30365473698092676
Tucumán,2018,2018-4,172004,1654388,0.10396835566989122
Tucumán,2019,2019-4,198644,1674622,0.11862020205156745
Tucumán,2020,2020-4,231089,1694656,0.1363633681407908
Tucumán,2021,2021-4,238639,1714487,0.13918974013801214
Tucumán,2022,2022-4,263422,1734118,0.15190546433403032
