Año,Trimestre,Provincia,Hasta 512kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,Otros,Total,Mbps (Media de bajada)
2022,4,Buenos Aires,28934,23347,259866,281550,244555,98670,3760109,97634,4794665,111.0
2022,4,Capital Federal,516,5096,31320,64653,36336,8116,1299117,106772,1551926,182.86
2022,4,Catamarca,71,315,2716,5028,4638,3122,52739,2280,70909,83.33
2022,4,Chaco,461,771,16067,17846,6704,3039,94866,3909,143663,104.02
2022,4,Chubut,109,1614,46457,31007,34728,15770,19048,20026,168759,15.92
2022,4,Córdoba,99,9929,143686,108195,63120,20691,686330,17610,1049660,108.77
2022,4,Corrientes,67,3282,22647,24858,7025,3770,85806,7998,155453,94.72
2022,4,Entre Ríos,107,4722,45629,46700,20927,22483,130406,0,270974,87.47
2022,4,Formosa,84,245,22458,12391,6724,310,18930,698,61840,72.03
2022,4,Jujuy,58,1763,18652,14070,36430,335,46910,0,118218,39.32
2022,4,La Pampa,68,1687,52618,10334,9167,4479,19783,16028,114164,19.1
2022,4,La Rioja,18,595,2531,3010,24435,5029,50644,0,86262,61.0
2022,4,Mendoza,103,2954,35541,20355,35935,14909,161163,21144,292104,38.76
2022,4,Misiones,51,3510,35622,21373,12196,3182,101745,8590,186269,91.24
2022,4,Neuquén,168,994,38814,13960,13008,5739,85247,2250,160180,95.37
2022,4,Río Negro,111,1081,32053,13931,20442,7335,57495,29644,162092,75.31
2022,4,Salta,114,1197,31530,71105,5036,117,90014,6747,205860,75.93
2022,4,San Juan,24,2027,30069,11247,20440,8188,19991,11840,103826,16.39
2022,4,San Luis,60,624,11785,24684,13981,78506,2227,3353,135220,30.67
2022,4,Santa Cruz,51,6810,11616,11509,10374,3236,5559,1048,50203,14.33
2022,4,Santa Fe,468,9374,115767,194420,73345,22899,453078,18340,887691,90.3
2022,4,Santiago Del Estero,178,1267,26183,58136,17735,661,14345,989,119494,34.4
2022,4,Tierra Del Fuego,22,902,11649,13634,21365,3612,1812,2264,55260,13.48
2022,4,Tucumán,39,1562,29996,35425,26369,1375,153538,15118,263422,88.33
2022,3,Buenos Aires,29985,27709,290315,297915,267044,124190,3618689,65821,4721668,70.19
2022,3,Capital Federal,517,5742,34371,67829,51946,28692,1253105,105477,1547679,101.05
2022,3,Catamarca,71,384,3107,5389,5099,3737,50298,2208,70293,60.99
2022,3,Chaco,461,987,16782,18938,8049,15828,79390,3711,144146,53.21
2022,3,Chubut,109,1444,45707,30940,34682,15309,17563,20024,165778,15.57
2022,3,Córdoba,99,11312,153324,111615,70989,27112,650344,13873,1038668,56.32
2022,3,Corrientes,67,3865,23427,23948,7776,21706,56950,7107,144846,45.07
2022,3,Entre Ríos,107,5549,47210,46855,18263,32021,102195,16759,268959,42.49
