Año,Poblacion,Provincia
2010,3028481,Capital Federal
2011,3033639,Capital Federal
2012,3038860,Capital Federal
2013,3044076,Capital Federal
2014,3049229,Capital Federal
2015,3054267,Capital Federal
2016,3059122,Capital Federal
2017,3063728,Capital Federal
2018,3068043,Capital Federal
2019,3072029,Capital Federal
2020,3075646,Capital Federal
2021,3078836,Capital Federal
2022,3081550,Capital Federal
2023,3083770,Capital Federal
2024,3085483,Capital Federal
2025,3086680,Capital Federal
2026,3087338,Capital Federal
2027,3087434,Capital Federal
2028,3086973,Capital Federal
2029,3085971,Capital Federal
2030,3084450,Capital Federal
2031,3082415,Capital Federal
2032,3079869,Capital Federal
2033,3076845,Capital Federal
2034,3073375,Capital Federal
2035,3069488,Capital Federal
2036,3065183,Capital Federal
2037,3060454,Capital Federal
2038,3055302,Capital Federal
2039,3049723,Capital Federal
2040,3043704,Capital Federal
2010,15716942,Buenos Aires
2011,15909607,Buenos Aires
2012,16100618,Buenos Aires
2013,16289599,Buenos Aires
2014,16476149,Buenos Aires
2015,16659931,Buenos Aires
2016,16841135,Buenos Aires
2017,17020012,Buenos Aires
2018,17196396,Buenos Aires
2019,17370144,Buenos Aires
2020,17541141,Buenos Aires
2021,17709598,Buenos Aires
2022,17875743,Buenos Aires
2023,18039509,Buenos Aires
2024,18200851,Buenos Aires
2025,18359753,Buenos Aires
2026,18516459,Buenos Aires
2027,18671214,Buenos Aires
2028,18824007,Buenos Aires
2029,18974810,Buenos Aires
2030,19123592,Buenos Aires
2031,19270454,Buenos Aires
2032,19415494,Buenos Aires
2033,19558673,Buenos Aires
2034,19699931,Buenos Aires
2035,19839191,Buenos Aires
2036,19976410,Buenos Aires
2037,20111548,Buenos Aires
2038,20244529,Buenos Aires
2039,20375264,Buenos Aires
2040,20503653,Buenos Aires
2010,377676,Catamarca
2011,381548,Catamarca
2012,385408,Catamarca
2013,389256,Catamarca
2014,393088,Catamarca
2015,396895,Catamarca
2016,400678,Catamarca
2017,404433,Catamarca
2018,408152,Catamarca
2019,411824,Catamarca
2020,415438,Catamarca
2021,418991,Catamarca
2022,422476,Catamarca
2023,425885,Catamarca
2024,429208,Catamarca
2025,432438,Catamarca
2026,435572,Catamarca
2027,438610,Catamarca
2028,441548,Catamarca
2029,444382,Catamarca
2030,447107,Catamarca
2031,449719,Catamarca
2032,452217,Catamarca
2033,454596,Catamarca
2034,456854,Catamarca
2035,458989,Catamarca
2036,460999,Catamarca
2037,462883,Catamarca
2038,464640,Catamarca
2039,466275,Catamarca
2040,467787,Catamarca
2010,3373025,Córdoba
2011,3411773,Córdoba
2012,3450673,Córdoba
2013,3489669,Córdoba
2014,3528687,Córdoba
2015,3567654,Córdoba
2016,3606540,Córdoba
2017,3645321,Córdoba
2018,3683937,Córdoba
2019,3722332,Córdoba
2020,3760450,Córdoba
2021,3798261,Córdoba
2022,3835738,Córdoba
2023,3872830,Córdoba
2024,3909489,Córdoba
2025,3945677,Córdoba
2026,3981393,Córdoba
2027,4016659,Córdoba
2028,4051461,Córdoba
2029,4085783,Córdoba
2030,4119615,Córdoba
2031,4152951,Córdoba
2032,4185790,Córdoba
2033,4218137,Córdoba
2034,4250000,Córdoba
2035,4281389,Córdoba
2036,4312310,Córdoba
2037,4342769,Córdoba
2038,4372781,Córdoba
2039,4402358,Córdoba
2040,4431509,Córdoba
2010,1017731,Corrientes
2011,1028248,Corrientes
2012,1038786,Corrientes
2013,1049325,Corrientes
2014,1059836,Corrientes
2015,1070283,Corrientes
2016,1080655,Corrientes
2017,1090938,Corrientes
2018,1101084,Corrientes
2019,1111052,Corrientes
2020,1120801,Corrientes
2021,1130320,Corrientes
2022,1139604,Corrientes
2023,1148631,Corrientes
2024,1157386,Corrientes
2025,1165860,Corrientes
2026,1174065,Corrientes
2027,1182008,Corrientes
2028,1189680,Corrientes
2029,1197076,Corrientes
2030,1204189,Corrientes
2031,1211027,Corrientes
2032,1217593,Corrientes
2033,1223885,Corrientes
2034,1229901,Corrientes
2035,1235644,Corrientes
2036,1241119,Corrientes
2037,1246340,Corrientes
2038,1251313,Corrientes
2039,1256046,Corrientes
2040,1260548,Corrientes
2010,1080017,Chaco
2011,1092625,Chaco
2012,1105280,Chaco
2013,1117953,Chaco
2014,1130608,Chaco
2015,1143201,Chaco
2016,1155723,Chaco
2017,1168165,Chaco
2018,1180477,Chaco
2019,1192616,Chaco
2020,1204541,Chaco
2021,1216247,Chaco
2022,1227736,Chaco
2023,1238989,Chaco
2024,1249992,Chaco
2025,1260737,Chaco
2026,1271241,Chaco
2027,1281525,Chaco
2028,1291581,Chaco
2029,1301397,Chaco
2030,1310964,Chaco
2031,1320278,Chaco
2032,1329337,Chaco
2033,1338130,Chaco
2034,1346652,Chaco
2035,1354895,Chaco
2036,1362863,Chaco
2037,1370566,Chaco
2038,1378007,Chaco
2039,1385188,Chaco
2040,1392114,Chaco
2010,513433,Chubut
2011,524201,Chubut
2012,534945,Chubut
2013,545656,Chubut
2014,556319,Chubut
2015,566922,Chubut
2016,577466,Chubut
2017,587956,Chubut
2018,598380,Chubut
2019,608729,Chubut
2020,618994,Chubut
2021,629181,Chubut
2022,639294,Chubut
2023,649330,Chubut
2024,659284,Chubut
2025,669155,Chubut
2026,678951,Chubut
2027,688682,Chubut
2028,698351,Chubut
2029,707956,Chubut
2030,717495,Chubut
2031,726971,Chubut
2032,736386,Chubut
2033,745737,Chubut
2034,755021,Chubut
2035,764230,Chubut
2036,773367,Chubut
2037,782427,Chubut
2038,791405,Chubut
2039,800299,Chubut
2040,809102,Chubut
2010,1255574,Entre Ríos
2011,1268744,Entre Ríos
2012,1281931,Entre Ríos
2013,1295121,Entre Ríos
2014,1308290,Entre Ríos
2015,1321415,Entre Ríos
2016,1334489,Entre Ríos
2017,1347508,Entre Ríos
2018,1360443,Entre Ríos
2019,1373270,Entre Ríos
2020,1385961,Entre Ríos
2021,1398510,Entre Ríos
2022,1410908,Entre Ríos
2023,1423136,Entre Ríos
2024,1435177,Entre Ríos
2025,1447019,Entre Ríos
2026,1458661,Entre Ríos
2027,1470109,Entre Ríos
2028,1481358,Entre Ríos
2029,1492399,Entre Ríos
2030,1503222,Entre Ríos
2031,1513825,Entre Ríos
2032,1524206,Entre Ríos
2033,1534359,Entre Ríos
2034,1544281,Entre Ríos
2035,1553972,Entre Ríos
2036,1563429,Entre Ríos
2037,1572653,Entre Ríos
2038,1581648,Entre Ríos
2039,1590415,Entre Ríos
2040,1598960,Entre Ríos
2010,551626,Formosa
2011,557223,Formosa
2012,562794,Formosa
2013,568331,Formosa
2014,573823,Formosa
2015,579250,Formosa
2016,584614,Formosa
2017,589916,Formosa
2018,595129,Formosa
2019,600229,Formosa
2020,605193,Formosa
2021,610019,Formosa
2022,614706,Formosa
2023,619240,Formosa
2024,623605,Formosa
2025,627790,Formosa
2026,631801,Formosa
2027,635646,Formosa
2028,639319,Formosa
2029,642812,Formosa
2030,646119,Formosa
2031,649242,Formosa
2032,652185,Formosa
2033,654940,Formosa
2034,657503,Formosa
2035,659871,Formosa
2036,662045,Formosa
2037,664031,Formosa
2038,665827,Formosa
2039,667437,Formosa
2040,668865,Formosa
2010,683513,Jujuy
2011,692379,Jujuy
2012,701252,Jujuy
2013,710121,Jujuy
2014,718971,Jujuy
2015,727780,Jujuy
2016,736542,Jujuy
2017,745252,Jujuy
2018,753891,Jujuy
2019,762440,Jujuy
2020,770881,Jujuy
2021,779212,Jujuy
2022,787436,Jujuy
2023,795539,Jujuy
2024,803507,Jujuy
2025,811328,Jujuy
2026,819006,Jujuy
2027,826541,Jujuy
2028,833925,Jujuy
2029,841151,Jujuy
2030,848213,Jujuy
2031,855109,Jujuy
2032,861838,Jujuy
2033,868393,Jujuy
2034,874769,Jujuy
2035,880965,Jujuy
2036,886977,Jujuy
2037,892807,Jujuy
2038,898453,Jujuy
2039,903916,Jujuy
2040,909196,Jujuy
2010,327028,La Pampa
2011,330268,La Pampa
2012,333496,La Pampa
2013,336706,La Pampa
2014,339895,La Pampa
2015,343056,La Pampa
2016,346191,La Pampa
2017,349299,La Pampa
2018,352378,La Pampa
2019,355422,La Pampa
2020,358428,La Pampa
2021,361394,La Pampa
2022,364322,La Pampa
2023,367207,La Pampa
2024,370047,La Pampa
2025,372838,La Pampa
2026,375579,La Pampa
2027,378272,La Pampa
2028,380911,La Pampa
2029,383495,La Pampa
2030,386024,La Pampa
2031,388496,La Pampa
2032,390910,La Pampa
2033,393265,La Pampa
2034,395561,La Pampa
2035,397800,La Pampa
2036,399980,La Pampa
2037,402103,La Pampa
2038,404168,La Pampa
2039,406177,La Pampa
2040,408128,La Pampa
2010,342582,La Rioja
2011,347494,La Rioja
2012,352476,La Rioja
2013,357516,La Rioja
2014,362605,La Rioja
2015,367728,La Rioja
2016,372879,La Rioja
2017,378047,La Rioja
2018,383220,La Rioja
2019,388386,La Rioja
2020,393531,La Rioja
2021,398648,La Rioja
2022,403727,La Rioja
2023,408760,La Rioja
2024,413735,La Rioja
2025,418645,La Rioja
2026,423488,La Rioja
2027,428256,La Rioja
2028,432944,La Rioja
2029,437549,La Rioja
2030,442067,La Rioja
2031,446498,La Rioja
2032,450839,La Rioja
2033,455091,La Rioja
2034,459255,La Rioja
2035,463331,La Rioja
2036,467323,La Rioja
2037,471232,La Rioja
2038,475062,La Rioja
2039,478816,La Rioja
2040,482498,La Rioja
2010,1774737,Mendoza
2011,1797235,Mendoza
2012,1819608,Mendoza
2013,1841813,Mendoza
2014,1863809,Mendoza
2015,1885551,Mendoza
2016,1907045,Mendoza
2017,1928304,Mendoza
2018,1949293,Mendoza
2019,1969982,Mendoza
2020,1990338,Mendoza
2021,2010363,Mendoza
2022,2030061,Mendoza
2023,2049411,Mendoza
2024,2068396,Mendoza
2025,2087006,Mendoza
2026,2105259,Mendoza
2027,2123178,Mendoza
2028,2140766,Mendoza
2029,2158023,Mendoza
2030,2174953,Mendoza
2031,2191575,Mendoza
2032,2207912,Mendoza
2033,2223969,Mendoza
2034,2239753,Mendoza
2035,2255267,Mendoza
2036,2270521,Mendoza
2037,2285519,Mendoza
2038,2300262,Mendoza
2039,2314745,Mendoza
2040,2328963,Mendoza
2010,1113279,Misiones
2011,1128798,Misiones
2012,1144189,Misiones
2013,1159445,Misiones
2014,1174542,Misiones
2015,1189446,Misiones
2016,1204182,Misiones
2017,1218771,Misiones
2018,1233177,Misiones
2019,1247362,Misiones
2020,1261294,Misiones
2021,1274992,Misiones
2022,1288476,Misiones
2023,1301723,Misiones
2024,1314714,Misiones
2025,1327431,Misiones
2026,1339893,Misiones
2027,1352117,Misiones
2028,1364086,Misiones
2029,1375781,Misiones
2030,1387184,Misiones
2031,1398304,Misiones
2032,1409156,Misiones
2033,1419725,Misiones
2034,1429997,Misiones
2035,1439958,Misiones
2036,1449601,Misiones
2037,1458924,Misiones
